fg_product_code,fg_type,fg_name,fg_product_sys_id,input_product_code,input_type,input_product_sys_id,ratio,unit_cost_dipakai_engine,unit_cost_seharusnya,status_cost_hulu,understatement_baris
CSTPTY2606006069,PTY,PTY 235/48/RND/SD/NI/DH/N/1/S,34134,CSTPOY2606001584,POY,1671,1,1,1.320631,CALCULATED,0.320631
CSTPTY2606006093,PTY,PTY 450/192/RND/SD/HIM/DH/N/1/Z,34158,CSTPOY2606003903,POY,27260,1,1,1.320557,CALCULATED,0.320557
CSTPTY2606006401,PTY,PTY 225/96/RND/SD/HIM/DH/DP/2/SZ,34466,CSTPOY2606002795,POY,2882,1,1,1.320557,CALCULATED,0.320557
CSTPTY2606005359,PTY,PTY 2700/2592/RND/DSD/NIM/DH/N/1/S,28555,CSTATY2606000046,ATY,23190,1,1,1.319892,CALCULATED,0.319892
CSTPTY2606004193,PTY,PTY 200/96/RND/BSD/NI/DH/N/1/Z,32537,CSTPOY2606001581,POY,1668,1,1,1.319735,CALCULATED,0.319735
CSTPTY2606006231,PTY,PTY 200/96/RND/BSD/HIM/DH/N/2/SZ,34296,CSTPOY2606001581,POY,1668,1,1,1.319735,CALCULATED,0.319735
CSTPTY2606002829,PTY,PTY 1800/288/RND/SD/SIM/LTDH/N/1/S,28386,CSTPTY2606004950,PTY,33446,1,1,1.319599,CALCULATED,0.319599
CSTPTY2606002827,PTY,PTY 1800/288/RND/SD/HIM/DH/N/1/Z,28384,CSTPTY2606004950,PTY,33446,1,1,1.319599,CALCULATED,0.319599
CSTPTY2606002828,PTY,PTY 1800/288/RND/SD/IM/LTDH/N/1/S,28385,CSTPTY2606004950,PTY,33446,1,1,1.319599,CALCULATED,0.319599
CSTPTY2606002826,PTY,PTY 1800/288/RND/SD/IM/DH/N/1/Z,28383,CSTPTY2606004950,PTY,33446,1,1,1.319599,CALCULATED,0.319599
CSTTTY2606000062,TTY,TTY 1000/576-100/TBL/BR/NI/ACDH/SN/1/S,35629,CSTPTY2606004199,PTY,32543,1,1,1.319491,CALCULATED,0.319491
CSTPTY2606005911,PTY,PTY 480/192/TBL/BBR/HIM/ACDH/N/1/S,33976,CSTPOY2606003744,POY,3831,1,1,1.319428,CALCULATED,0.319428
CSTPTY2606004640,PTY,PTY 480/216/TBL/BBR/LIM/GTDH/N/1/S,32984,CSTPOY2606003054,POY,3141,1,1,1.319143,CALCULATED,0.319143
CSTPTY2606001745,PTY,PTY 300/96/TBL/BBR/NI/DH/N/1/Z,9632,CSTPOY2606001916,POY,2003,1,1,1.318842,CALCULATED,0.318842
CSTPTY2606005147,PTY,PTY 1200/288/RND/SPBR/SIM/SPDH/T3/1/S,36046,CSTPTY2606003398,PTY,31742,1,1,1.318763,CALCULATED,0.318763
CSTTTY2606000791,TTY,TTY 150/48-340/RND/BSD/N/2/S,35379,CSTFDY2606000004,FDY,28155,1,1,1.318677,CALCULATED,0.318677
CSTTTY2606000393,TTY,TTY 150/48-340/RND/BSD/N/3/S,35960,CSTFDY2606000004,FDY,28155,1,1,1.318677,CALCULATED,0.318677
CSTPTY2606005333,PTY,PTY 1500/480/TBL/BR/NIM/LSDH/N/1/Z,28529,CSTPTY2606005844,PTY,33909,1,1,1.318312,CALCULATED,0.318312
CSTPTY2606005511,PTY,PTY 4000/1152/RND/ATY-SD/NIM/DH/N/1/S,28707,CSTATY2606000189,ATY,23386,1,1,1.317656,CALCULATED,0.317656
CSTPTY2606005509,PTY,PTY 6000/1728/RND/ATY-SD/NIM/DH/N/1/S,28705,CSTATY2606000189,ATY,23386,1,1,1.317656,CALCULATED,0.317656
CSTPTY2606005510,PTY,PTY 5000/1440/RND/ATY-SD/NIM/DH/N/1/S,28706,CSTATY2606000189,ATY,23386,1,1,1.317656,CALCULATED,0.317656
CSTPTY2606005512,PTY,PTY 3000/864/RND/ATY-SD/NIM/DH/N/1/S,28708,CSTATY2606000189,ATY,23386,1,1,1.317656,CALCULATED,0.317656
CSTTTY2606000789,TTY,TTY 1800/576-120/TBL/BR/NIM/DH/N/1/S,35377,CSTATY2606000021,ATY,23321,1,1,1.317429,CALCULATED,0.317429
CSTPTY2606005517,PTY,PTY 2700/1008/RND/ATY-SD/HIM/DH/N/1/S,28713,CSTATY2606000021,ATY,23321,1,1,1.317429,CALCULATED,0.317429
CSTPTY2606002777,PTY,PTY 3600/1152/RND/BSD/NI/DH/N/1/S,28329,CSTPTY2606003095,PTY,30841,1,1,1.317066,CALCULATED,0.317066
